step	label	relative_year	unit	duration_years	phase	quiet_hours	shared_meal_time	private_room_priority	description
1	ISS滞在 Day1	0.00	日	0.003	ISS_50日観測	22:00-06:00	19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での初期適応観測
2	ISS滞在 Day2	0.01	日	0.003	ISS_50日観測	22:00-06:00	19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での初期適応観測
3	ISS滞在 Day3	0.01	日	0.003	ISS_50日観測	22:00-06:00	19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での初期適応観測
4	ISS滞在 Day4	0.01	日	0.003	ISS_50日観測	22:00-06:00	19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での初期適応観測
5	ISS滞在 Day5	0.01	日	0.003	ISS_50日観測	22:00-06:00	19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での初期適応観測
6	ISS滞在 Day6	0.02	日	0.003	ISS_50日観測	22:00-06:00	19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での初期適応観測
7	ISS滞在 Day7	0.02	日	0.003	ISS_50日観測	22:00-06:00	19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での初期適応観測
8	ISS滞在 Day8	0.02	日	0.003	ISS_50日観測	22:00-06:00	19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での初期適応観測
9	ISS滞在 Day9	0.02	日	0.003	ISS_50日観測	22:00-06:00	19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での初期適応観測
10	ISS滞在 Day10	0.03	日	0.003	ISS_50日観測	22:00-06:00	19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での初期適応観測
11	ISS滞在 Day11	0.03	日	0.003	ISS_50日観測	22:00-06:00	12:30+19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での関係形成観測
12	ISS滞在 Day12	0.03	日	0.003	ISS_50日観測	22:00-06:00	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での関係形成観測
13	ISS滞在 Day13	0.03	日	0.003	ISS_50日観測	22:00-06:00	12:30+19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での関係形成観測
14	ISS滞在 Day14	0.04	日	0.003	ISS_50日観測	22:00-06:00	12:30+19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での関係形成観測
15	ISS滞在 Day15	0.04	日	0.003	ISS_50日観測	22:00-06:00	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での関係形成観測
16	ISS滞在 Day16	0.04	日	0.003	ISS_50日観測	22:00-06:00	12:30+19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での関係形成観測
17	ISS滞在 Day17	0.04	日	0.003	ISS_50日観測	22:00-06:00	12:30+19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での関係形成観測
18	ISS滞在 Day18	0.05	日	0.003	ISS_50日観測	22:00-06:00	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での関係形成観測
19	ISS滞在 Day19	0.05	日	0.003	ISS_50日観測	22:00-06:00	12:30+19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での関係形成観測
20	ISS滞在 Day20	0.05	日	0.003	ISS_50日観測	22:00-06:00	12:30+19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での関係形成観測
21	ISS滞在 Day21	0.05	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での中盤ストレス観測
22	ISS滞在 Day22	0.06	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での中盤ストレス観測
23	ISS滞在 Day23	0.06	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での中盤ストレス観測
24	ISS滞在 Day24	0.06	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での中盤ストレス観測
25	ISS滞在 Day25	0.06	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での中盤ストレス観測
26	ISS滞在 Day26	0.07	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での中盤ストレス観測
27	ISS滞在 Day27	0.07	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での中盤ストレス観測
28	ISS滞在 Day28	0.07	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での中盤ストレス観測
29	ISS滞在 Day29	0.07	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での中盤ストレス観測
30	ISS滞在 Day30	0.08	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での中盤ストレス観測
31	ISS滞在 Day31	0.08	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での後半回復観測
32	ISS滞在 Day32	0.08	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での後半回復観測
33	ISS滞在 Day33	0.08	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での後半回復観測
34	ISS滞在 Day34	0.09	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS00,ISS03,ISS05]	ISS閉鎖空間での後半回復観測
35	ISS滞在 Day35	0.09	日	0.003	ISS_50日観測	21:30-06:30	12:30+19:00	[ISS01,ISS02,ISS08]	ISS閉鎖空間での後半回復観測
36	ISS滞在 Day36	0.09	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での後半回復観測
37	ISS滞在 Day37	0.09	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05]	ISS閉鎖空間での後半回復観測
38	ISS滞在 Day38	0.10	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08]	ISS閉鎖空間での後半回復観測
